"gender","age","S1","S2","S3","S4","S5","S6","EX","NR","OP","AG","CN"
1,55,"anyone","disciplined","are something I don't have","are okay","money is security","someone to love me",2.7,2.2,3.1,2.5,4.5
1,24,"men when they say they love you.","is meant to be shared.","get your act together.","I'm sorry.","it all defies description.","you.",4.8,3.1,5,4.9,3.4
2,23,"someone who has wronged them.","is hard to come by.","are a gift.","are a gift.","life is short-lived.","the kitchen sink.",2.9,2,3.8,3.7,4.2
1,38,"strangers","is about to begin","are far away.","none","the beast","heart.",3.7,1.7,5,4.1,2.5
2,18,"even good friends","happy life","buddies","friends","soul","nothing",1.9,2.3,3.1,3.3,3.6
2,21,"any one","is in heaven","should be responsible to handle the whole family","should be freinds first","character not human","not character",3.4,2.4,2.8,4.1,3
2,41,"Anoyone else","is being happy","are loved unconditionally","are best friends","children is a blessing","Faith",4.6,1.5,4.2,5,4.6
2,24,"bankers ","means stability","are your best friends","are your best friends","love cannot be explained","love makes it all worthwhile",4.8,4,4.9,4.7,4.3
2,28,"a stranger.","is spent with your family.","are there to protect you.","are there to annoy you.","a person is inside them.","heart is a good thing.",4.2,2.9,3.9,4,3.2
2,26,"anyone","is in the past","and sisters","and brothers","the beholder","beauty",2.3,2.4,2.7,2.6,3.2
1,47,"liars","is what everybody is seeking","don't let you fall","don't let you quiet","nature","thinking",3.6,2.9,4.5,4.2,3.8
2,41,"strangers.","is what we make it to be.","are protectors.","are good friends.","it all.","common sense",2,3.3,3.5,4.7,3.3
1,58,"a stranger","is a nice life"," and sisters","of mercy","Women","style",3.1,1.8,3.3,3.7,2.7
2,19,"a liar.","is what everyone should have.","are fun to drink with.","are always there for you.","life.","love.",3.2,3.8,3.3,4.1,3.8
2,36,"In luck","Is every life","And sisters","Of mercy","Life","Bird milk",3.4,3.7,5,4.6,4.3
1,30,"No one.","with ca$h",4,3,"technorganic stuff.","if you have ca$h, everything else is a conseguence.",1.8,4.6,5,2.2,4.4
1,25,"a polar bear.","is simple","are a strength","love.","the world astonishes.","hope.",3.4,3.4,4.4,4.1,3.2
